geneSymbol,cluster.name,comb.ES,comb.p,comb.padj,comb.ES.rank,comb.positive.freq,sig.N,sig.freq,total.N,ES.max,ES.max.p.adj,TF,kinase,epigenetic regulation,secretory,membrane,enzyme,drug target (FDA),drug target (potential)
PPP2R1A,CD4.c20(TNFRSF9+ Treg),0.22 ,1.36E-50,2.60E-49,815,47.83%,13,0.65 ,20,0.47 ,3.56E-08,,,,,,,,
CLTB,CD4.c20(TNFRSF9+ Treg),0.22 ,1.76E-37,1.81E-36,816,43.10%,13,0.65 ,20,0.33 ,1.77E-83,,,,,,,,
TSPAN33,CD4.c20(TNFRSF9+ Treg),0.22 ,6.02E-18,2.20E-17,817,3.04%,12,0.60 ,20,0.50 ,2.68E-09,,,,,TRUE,,,
DDX24,CD4.c20(TNFRSF9+ Treg),0.22 ,6.40E-27,3.78E-26,818,49.71%,11,0.55 ,20,0.51 ,4.57E-16,,,,,,TRUE,,
PCK2,CD4.c20(TNFRSF9+ Treg),0.22 ,2.25E-23,1.10E-22,819,15.52%,13,0.65 ,20,0.46 ,5.45E-08,,,,,,TRUE,,TRUE
ARHGAP25,CD4.c20(TNFRSF9+ Treg),0.22 ,3.08E-30,2.16E-29,820,30.63%,12,0.60 ,20,0.44 ,1.66E-79,,,,,,,,
CACNB2,CD4.c20(TNFRSF9+ Treg),0.22 ,1.00E-13,2.91E-13,821,4.55%,10,0.50 ,20,0.49 ,2.15E-11,,,,,,,TRUE,
ARG2,CD4.c20(TNFRSF9+ Treg),0.22 ,8.92E-11,2.19E-10,822,11.59%,10,0.50 ,20,0.80 ,4.01E-22,,,,,,TRUE,,
MCF2L2,CD4.c20(TNFRSF9+ Treg),0.22 ,8.99E-19,3.43E-18,823,8.05%,11,0.55 ,20,0.48 ,2.66E-02,,,,,,,,
UBE2D3,CD4.c20(TNFRSF9+ Treg),0.22 ,1.20E-43,1.62E-42,824,53.70%,14,0.70 ,20,0.56 ,2.43E-19,,,,,,TRUE,,
C20orf24,CD4.c20(TNFRSF9+ Treg),0.22 ,7.77E-36,7.29E-35,825,44.23%,14,0.70 ,20,0.47 ,3.43E-08,,,,,TRUE,,,
NDUFA1,CD4.c20(TNFRSF9+ Treg),0.22 ,4.00E-64,1.67E-62,826,51.73%,13,0.65 ,20,0.55 ,3.32E-07,,,,,TRUE,,,
UNQ6494,CD4.c20(TNFRSF9+ Treg),0.22 ,1.00E-07,2.02E-07,827,7.59%,9,0.45 ,20,0.50 ,1.10E-15,,,,,,,,
ZFP36L1,CD4.c20(TNFRSF9+ Treg),0.22 ,8.58E-12,2.23E-11,828,47.91%,8,0.40 ,20,0.58 ,1.48E-03,TRUE,,,,,,,
GPHN,CD4.c20(TNFRSF9+ Treg),0.22 ,1.84E-24,9.68E-24,829,16.96%,12,0.60 ,20,0.40 ,2.71E-06,,,,,,TRUE,,TRUE
FXYD2,CD4.c20(TNFRSF9+ Treg),0.22 ,6.07E-27,3.60E-26,830,6.55%,10,0.50 ,20,0.39 ,7.78E-63,,,,,TRUE,,TRUE,
SRGN,CD4.c20(TNFRSF9+ Treg),0.22 ,6.02E-06,1.07E-05,831,42.55%,7,0.35 ,20,1.11 ,1.89E-27,,,,,,,,
LRP10,CD4.c20(TNFRSF9+ Treg),0.22 ,5.45E-20,2.23E-19,832,42.96%,13,0.65 ,20,0.50 ,1.30E-188,,,,,TRUE,,,
LY6E,CD4.c20(TNFRSF9+ Treg),0.22 ,3.21E-19,1.25E-18,833,52.20%,12,0.60 ,20,0.47 ,1.02E-126,,,,,TRUE,,,
ELOVL5,CD4.c20(TNFRSF9+ Treg),0.22 ,2.25E-35,2.05E-34,834,48.17%,11,0.55 ,20,0.51 ,2.71E-12,,,,,TRUE,TRUE,,TRUE
KDM2B,CD4.c20(TNFRSF9+ Treg),0.22 ,3.21E-53,7.20E-52,835,23.45%,13,0.65 ,20,0.33 ,3.56E-04,,,,,,TRUE,,
ODF3B,CD4.c20(TNFRSF9+ Treg),0.22 ,4.64E-17,1.61E-16,836,23.82%,11,0.55 ,20,0.56 ,7.93E-20,,,,,,,,
FAM46C,CD4.c20(TNFRSF9+ Treg),0.22 ,7.22E-17,2.48E-16,837,40.71%,7,0.35 ,20,0.89 ,8.78E-18,,,,,,,,
MPC2,CD4.c20(TNFRSF9+ Treg),0.22 ,1.13E-48,1.94E-47,838,43.52%,15,0.75 ,20,0.35 ,4.06E-08,,,,,TRUE,,,
SMPD3,CD4.c20(TNFRSF9+ Treg),0.22 ,2.04E-16,6.86E-16,839,4.40%,8,0.40 ,20,0.71 ,2.41E-31,,,,,TRUE,TRUE,,
CCDC50,CD4.c20(TNFRSF9+ Treg),0.22 ,4.51E-09,9.92E-09,840,22.19%,9,0.45 ,20,0.77 ,5.74E-36,,,,,,,,
CTNNAL1,CD4.c20(TNFRSF9+ Treg),0.22 ,2.85E-31,2.10E-30,841,15.38%,11,0.55 ,20,0.41 ,9.56E-11,,,,,,,,
NDUFC2,CD4.c20(TNFRSF9+ Treg),0.22 ,3.05E-33,2.49E-32,842,36.41%,11,0.55 ,20,0.49 ,1.09E-05,,,,,TRUE,,,
PGK1,CD4.c20(TNFRSF9+ Treg),0.22 ,1.71E-23,8.47E-23,843,51.51%,12,0.60 ,20,0.48 ,2.01E-14,,TRUE,,,,TRUE,,TRUE
MRPL28,CD4.c20(TNFRSF9+ Treg),0.22 ,2.19E-49,3.93E-48,844,27.77%,13,0.65 ,20,0.36 ,2.52E-08,,,,,,,,
CEP120,CD4.c20(TNFRSF9+ Treg),0.22 ,5.93E-15,1.84E-14,845,21.35%,9,0.45 ,20,0.59 ,1.47E-140,,,,,,,,
CCDC167,CD4.c20(TNFRSF9+ Treg),0.22 ,1.12E-30,8.01E-30,846,35.17%,13,0.65 ,20,0.75 ,5.71E-13,,,,,TRUE,,,
PRELID2,CD4.c20(TNFRSF9+ Treg),0.22 ,3.62E-24,1.86E-23,847,7.12%,13,0.65 ,20,0.44 ,3.68E-07,,,,,,,,
ASNA1,CD4.c20(TNFRSF9+ Treg),0.22 ,2.42E-38,2.58E-37,848,35.15%,13,0.65 ,20,0.43 ,4.95E-07,,,,,,,,
CHST2,CD4.c20(TNFRSF9+ Treg),0.22 ,2.86E-40,3.30E-39,849,7.10%,13,0.65 ,20,0.57 ,1.69E-07,,,,,TRUE,,,
ATP6V0B,CD4.c20(TNFRSF9+ Treg),0.22 ,3.88E-39,4.26E-38,850,47.42%,12,0.60 ,20,0.36 ,2.79E-76,,,,,TRUE,,,
HILPDA,CD4.c20(TNFRSF9+ Treg),0.22 ,1.26E-23,6.31E-23,851,7.05%,11,0.55 ,20,0.52 ,4.78E-02,,,,,TRUE,,,
IL10RB,CD4.c20(TNFRSF9+ Treg),0.22 ,1.35E-33,1.12E-32,852,27.39%,10,0.50 ,20,0.43 ,1.74E-04,,,,,TRUE,,,
POLR2E,CD4.c20(TNFRSF9+ Treg),0.22 ,9.52E-36,8.83E-35,853,47.02%,13,0.65 ,20,0.49 ,1.15E-08,,,TRUE,,,,,
FBLN7,CD4.c20(TNFRSF9+ Treg),0.22 ,1.02E-15,3.30E-15,854,31.21%,10,0.50 ,20,0.66 ,5.21E-10,,,,TRUE,,,,
MTMR6,CD4.c20(TNFRSF9+ Treg),0.22 ,8.14E-27,4.79E-26,855,25.10%,11,0.55 ,20,0.68 ,3.30E-28,,,,,,,,
SLC35E3,CD4.c20(TNFRSF9+ Treg),0.22 ,1.28E-34,1.13E-33,856,12.85%,13,0.65 ,20,0.51 ,3.16E-06,,,,,TRUE,,,
PPP4C,CD4.c20(TNFRSF9+ Treg),0.22 ,1.76E-39,1.95E-38,857,47.27%,14,0.70 ,20,0.62 ,7.40E-09,,,,,,TRUE,,
CALR,CD4.c20(TNFRSF9+ Treg),0.22 ,2.65E-34,2.28E-33,858,50.39%,13,0.65 ,20,0.35 ,4.59E-71,,,,,,,,
COX7A2L,CD4.c20(TNFRSF9+ Treg),0.22 ,2.66E-31,1.96E-30,859,50.12%,11,0.55 ,20,0.39 ,1.05E-71,,,,,TRUE,,,
TMEM205,CD4.c20(TNFRSF9+ Treg),0.22 ,4.20E-47,6.58E-46,860,20.80%,12,0.60 ,20,0.50 ,2.90E-09,,,,,TRUE,,,
RTCB,CD4.c20(TNFRSF9+ Treg),0.22 ,1.73E-44,2.41E-43,861,28.65%,14,0.70 ,20,0.45 ,1.15E-07,,,,,,TRUE,,
NRBP1,CD4.c20(TNFRSF9+ Treg),0.22 ,3.18E-38,3.36E-37,862,41.87%,12,0.60 ,20,0.44 ,8.82E-05,,,,,,TRUE,,
GNA15,CD4.c20(TNFRSF9+ Treg),0.22 ,1.60E-13,4.59E-13,863,26.31%,8,0.40 ,20,0.67 ,1.69E-10,,,,,,,,
PRF1,CD4.c20(TNFRSF9+ Treg),0.22 ,4.12E-10,9.68E-10,864,33.36%,9,0.45 ,20,0.54 ,1.33E-10,,,,,,,,TRUE
HM13,CD4.c20(TNFRSF9+ Treg),0.22 ,2.06E-38,2.20E-37,865,45.35%,12,0.60 ,20,0.47 ,4.34E-08,,,,,TRUE,TRUE,,
IL4R,CD4.c20(TNFRSF9+ Treg),0.22 ,1.77E-15,5.70E-15,866,29.21%,8,0.40 ,20,0.50 ,2.78E-04,,,,TRUE,TRUE,,TRUE,
SELPLG,CD4.c20(TNFRSF9+ Treg),0.22 ,8.55E-25,4.56E-24,867,47.65%,11,0.55 ,20,0.40 ,2.02E-10,,,,,TRUE,,,
CMTM3,CD4.c20(TNFRSF9+ Treg),0.22 ,4.21E-26,2.40E-25,868,40.46%,12,0.60 ,20,0.66 ,8.21E-27,,,,,TRUE,,,
ZNF281,CD4.c20(TNFRSF9+ Treg),0.22 ,1.34E-33,1.11E-32,869,23.05%,15,0.75 ,20,0.48 ,1.29E-05,TRUE,,,,,,,
COL5A1,CD4.c20(TNFRSF9+ Treg),0.22 ,1.12E-17,4.03E-17,870,3.53%,10,0.50 ,20,0.46 ,4.66E-02,,,,TRUE,,,,
MX1,CD4.c20(TNFRSF9+ Treg),0.21 ,5.24E-22,2.39E-21,871,32.65%,9,0.45 ,20,0.63 ,9.49E-25,,,,,,,,
SDF2L1,CD4.c20(TNFRSF9+ Treg),0.21 ,1.43E-52,3.10E-51,872,30.11%,14,0.70 ,20,0.47 ,4.34E-08,,,,,,,,
CSNK2B,CD4.c20(TNFRSF9+ Treg),0.21 ,1.49E-39,1.68E-38,873,47.96%,13,0.65 ,20,0.34 ,1.29E-05,,TRUE,,,,,,
EXOSC1,CD4.c20(TNFRSF9+ Treg),0.21 ,2.60E-90,3.98E-88,874,29.75%,16,0.80 ,20,0.38 ,1.39E-05,,,,,,,,
MVP,CD4.c20(TNFRSF9+ Treg),0.21 ,1.12E-48,1.93E-47,875,42.76%,14,0.70 ,20,0.37 ,1.73E-03,,,,,,,,
PSMF1,CD4.c20(TNFRSF9+ Treg),0.21 ,5.01E-70,2.85E-68,876,43.57%,14,0.70 ,20,0.34 ,1.36E-04,,,,,,,,
TBK1,CD4.c20(TNFRSF9+ Treg),0.21 ,7.20E-43,9.33E-42,877,22.86%,11,0.55 ,20,0.53 ,1.15E-06,,TRUE,,,,TRUE,,TRUE
ACOX3,CD4.c20(TNFRSF9+ Treg),0.21 ,1.67E-26,9.68E-26,878,12.87%,12,0.60 ,20,0.54 ,1.67E-03,,,,,,TRUE,,
PCYOX1L,CD4.c20(TNFRSF9+ Treg),0.21 ,1.64E-45,2.40E-44,879,13.47%,16,0.80 ,20,0.34 ,4.78E-03,,,,TRUE,,,,
YWHAH,CD4.c20(TNFRSF9+ Treg),0.21 ,1.48E-36,1.45E-35,880,38.45%,12,0.60 ,20,0.47 ,2.09E-05,,,,,,,,
EMC7,CD4.c20(TNFRSF9+ Treg),0.21 ,7.82E-56,2.05E-54,881,39.77%,15,0.75 ,20,0.35 ,3.55E-03,,,,,TRUE,,,
RCBTB1,CD4.c20(TNFRSF9+ Treg),0.21 ,1.03E-33,8.54E-33,882,11.72%,10,0.50 ,20,0.39 ,9.05E-04,,,,,,,,
TNFAIP3,CD4.c20(TNFRSF9+ Treg),0.21 ,2.72E-10,6.47E-10,883,45.88%,8,0.40 ,20,0.71 ,1.11E-11,,,,,,TRUE,,TRUE
ABTB2,CD4.c20(TNFRSF9+ Treg),0.21 ,1.64E-22,7.68E-22,884,4.04%,11,0.55 ,20,0.55 ,5.34E-11,,,,,,,,
COX7B,CD4.c20(TNFRSF9+ Treg),0.21 ,6.90E-51,1.36E-49,885,51.08%,12,0.60 ,20,0.51 ,1.49E-09,,,,,TRUE,,,
C19orf24,CD4.c20(TNFRSF9+ Treg),0.21 ,1.16E-51,2.34E-50,886,37.42%,14,0.70 ,20,0.34 ,2.04E-07,,,,,TRUE,,,
SMYD3,CD4.c20(TNFRSF9+ Treg),0.21 ,7.85E-37,7.76E-36,887,17.99%,11,0.55 ,20,0.38 ,4.95E-59,,,,,,TRUE,,
HSDL2,CD4.c20(TNFRSF9+ Treg),0.21 ,1.14E-38,1.23E-37,888,16.32%,14,0.70 ,20,0.52 ,4.83E-04,,,,,,,,
NBR1,CD4.c20(TNFRSF9+ Treg),0.21 ,7.30E-48,1.19E-46,889,30.49%,13,0.65 ,20,0.37 ,2.96E-05,,,,,,,,
CCDC12,CD4.c20(TNFRSF9+ Treg),0.21 ,1.59E-71,9.86E-70,890,39.86%,13,0.65 ,20,0.37 ,4.91E-31,,,,,,,,
AP2S1,CD4.c20(TNFRSF9+ Treg),0.21 ,1.59E-28,1.02E-27,891,43.08%,11,0.55 ,20,0.42 ,1.26E-06,,,,,,,,
TGIF2,CD4.c20(TNFRSF9+ Treg),0.21 ,4.77E-53,1.06E-51,892,20.10%,14,0.70 ,20,0.50 ,1.31E-15,TRUE,,,,,,,
FIS1,CD4.c20(TNFRSF9+ Treg),0.21 ,2.08E-48,3.53E-47,893,47.25%,14,0.70 ,20,0.53 ,2.78E-10,,,,,TRUE,,,
ISG20,CD4.c20(TNFRSF9+ Treg),0.21 ,2.00E-11,5.11E-11,894,48.82%,11,0.55 ,20,0.84 ,3.24E-43,,,,,,TRUE,,
ZCCHC6,CD4.c20(TNFRSF9+ Treg),0.21 ,3.01E-38,3.19E-37,895,27.81%,13,0.65 ,20,0.50 ,6.80E-06,,,,,,TRUE,,
IGF2R,CD4.c20(TNFRSF9+ Treg),0.21 ,6.92E-38,7.22E-37,896,19.14%,10,0.50 ,20,0.36 ,3.38E-97,,TRUE,,,TRUE,,,
TMBIM6,CD4.c20(TNFRSF9+ Treg),0.21 ,1.84E-34,1.60E-33,897,52.19%,14,0.70 ,20,0.51 ,3.12E-06,,,,,TRUE,,,
VWA5A,CD4.c20(TNFRSF9+ Treg),0.21 ,3.55E-38,3.74E-37,898,7.84%,14,0.70 ,20,0.37 ,3.13E-07,,,,,,,,
HERC5,CD4.c20(TNFRSF9+ Treg),0.21 ,6.05E-27,3.59E-26,899,22.59%,14,0.70 ,20,0.67 ,2.27E-10,,,,,TRUE,,,
RAB5A,CD4.c20(TNFRSF9+ Treg),0.21 ,6.23E-32,4.76E-31,900,31.44%,10,0.50 ,20,0.57 ,1.05E-07,,,,,,,,
SCAMP2,CD4.c20(TNFRSF9+ Treg),0.21 ,1.31E-50,2.52E-49,901,44.44%,12,0.60 ,20,0.55 ,6.17E-11,,,,,TRUE,,,
DDOST,CD4.c20(TNFRSF9+ Treg),0.21 ,1.93E-55,4.92E-54,902,47.68%,13,0.65 ,20,0.32 ,1.44E-01,,,,,TRUE,,,
GCA,CD4.c20(TNFRSF9+ Treg),0.21 ,3.35E-44,4.61E-43,903,13.88%,12,0.60 ,20,0.37 ,7.58E-07,,,,,,,,
SLC39A1,CD4.c20(TNFRSF9+ Treg),0.21 ,6.64E-43,8.64E-42,904,22.37%,11,0.55 ,20,0.36 ,5.92E-05,,,,,TRUE,,,
SNAP23,CD4.c20(TNFRSF9+ Treg),0.21 ,3.71E-36,3.55E-35,905,33.45%,13,0.65 ,20,0.52 ,8.43E-10,,,,,TRUE,,,
SNX17,CD4.c20(TNFRSF9+ Treg),0.21 ,2.69E-49,4.79E-48,906,42.03%,12,0.60 ,20,0.42 ,2.64E-02,,,,,,,,
PSMA4,CD4.c20(TNFRSF9+ Treg),0.21 ,1.48E-54,3.63E-53,907,40.64%,17,0.85 ,20,0.51 ,6.06E-04,,,,,,TRUE,,
SLC29A1,CD4.c20(TNFRSF9+ Treg),0.21 ,5.76E-43,7.53E-42,908,7.65%,14,0.70 ,20,0.35 ,5.74E-93,,,,,TRUE,,,
LAMTOR1,CD4.c20(TNFRSF9+ Treg),0.21 ,4.05E-39,4.43E-38,909,43.54%,12,0.60 ,20,0.52 ,1.11E-09,,,,,,,,
MEF2D,CD4.c20(TNFRSF9+ Treg),0.21 ,3.75E-30,2.62E-29,910,20.57%,11,0.55 ,20,0.40 ,6.09E-04,TRUE,,,,,,,
CXorf21,CD4.c20(TNFRSF9+ Treg),0.21 ,1.66E-29,1.12E-28,911,9.29%,12,0.60 ,20,0.55 ,1.14E-18,,,,,,,,
SIRPB1,CD4.c20(TNFRSF9+ Treg),0.21 ,7.19E-15,2.22E-14,912,5.34%,7,0.35 ,20,0.52 ,1.09E-02,,,,,TRUE,,,
PIN1,CD4.c20(TNFRSF9+ Treg),0.21 ,1.02E-29,6.93E-29,913,40.89%,12,0.60 ,20,0.55 ,9.71E-11,,,,,,TRUE,,
RAB11B,CD4.c20(TNFRSF9+ Treg),0.21 ,3.53E-30,2.48E-29,914,45.65%,14,0.70 ,20,0.48 ,2.13E-08,,,,,,,,
E2F3,CD4.c20(TNFRSF9+ Treg),0.21 ,8.51E-52,1.73E-50,915,12.99%,11,0.55 ,20,0.31 ,1.02E-02,TRUE,,,,,,,
JOSD2,CD4.c20(TNFRSF9+ Treg),0.21 ,9.26E-36,8.61E-35,916,25.54%,12,0.60 ,20,0.57 ,1.80E-11,,,,,,TRUE,,
ELAVL1,CD4.c20(TNFRSF9+ Treg),0.21 ,9.71E-43,1.25E-41,917,36.31%,13,0.65 ,20,0.48 ,1.88E-08,,,TRUE,,,,,
RAD21,CD4.c20(TNFRSF9+ Treg),0.21 ,1.89E-76,1.56E-74,918,49.30%,13,0.65 ,20,0.45 ,1.69E-07,,,,,,,,
TIMM8B,CD4.c20(TNFRSF9+ Treg),0.21 ,1.04E-34,9.21E-34,919,29.01%,12,0.60 ,20,0.52 ,1.01E-09,,,,,,,,
OPTN,CD4.c20(TNFRSF9+ Treg),0.21 ,1.38E-32,1.08E-31,920,49.51%,11,0.55 ,20,0.42 ,9.97E-07,,,,,,,,
IL15RA,CD4.c20(TNFRSF9+ Treg),0.21 ,2.05E-27,1.25E-26,921,12.68%,12,0.60 ,20,0.36 ,3.79E-05,,,,TRUE,TRUE,,,
LAMTOR2,CD4.c20(TNFRSF9+ Treg),0.21 ,1.19E-50,2.30E-49,922,34.01%,13,0.65 ,20,0.54 ,2.33E-04,,,,,,,,
ATP6V1E1,CD4.c20(TNFRSF9+ Treg),0.21 ,2.40E-56,6.37E-55,923,31.06%,13,0.65 ,20,0.39 ,8.51E-10,,,,,,,,TRUE
SEC24A,CD4.c20(TNFRSF9+ Treg),0.21 ,2.51E-35,2.28E-34,924,15.15%,9,0.45 ,20,0.34 ,1.20E-88,,,,,,,,
CSGALNACT2,CD4.c20(TNFRSF9+ Treg),0.21 ,5.63E-21,2.43E-20,925,21.28%,12,0.60 ,20,0.53 ,9.75E-07,,,,,,TRUE,,
NAPG,CD4.c20(TNFRSF9+ Treg),0.21 ,7.82E-30,5.37E-29,926,19.36%,11,0.55 ,20,0.56 ,2.60E-07,,,,,,,,
COX6B1,CD4.c20(TNFRSF9+ Treg),0.21 ,4.68E-59,1.44E-57,927,52.89%,13,0.65 ,20,0.42 ,1.10E-06,,,,,,,,
UBL7,CD4.c20(TNFRSF9+ Treg),0.21 ,1.05E-54,2.60E-53,928,27.33%,10,0.50 ,20,0.43 ,6.40E-07,,,,,,,,
PHF19,CD4.c20(TNFRSF9+ Treg),0.21 ,3.33E-45,4.77E-44,929,21.53%,12,0.60 ,20,0.34 ,4.42E-03,TRUE,,TRUE,,,,,
MPDU1,CD4.c20(TNFRSF9+ Treg),0.21 ,4.14E-50,7.67E-49,930,22.00%,11,0.55 ,20,0.28 ,2.91E-03,,,,,TRUE,,,
MAPK6,CD4.c20(TNFRSF9+ Treg),0.21 ,9.24E-57,2.54E-55,931,15.53%,15,0.75 ,20,0.37 ,1.53E-03,,TRUE,,,,TRUE,,
YIPF3,CD4.c20(TNFRSF9+ Treg),0.21 ,1.93E-39,2.13E-38,932,34.69%,14,0.70 ,20,0.42 ,1.37E-06,,,,,TRUE,,,
PIP5K1B,CD4.c20(TNFRSF9+ Treg),0.21 ,4.50E-21,1.94E-20,933,4.09%,13,0.65 ,20,0.36 ,5.59E-64,,TRUE,,,,TRUE,,
ZEB1,CD4.c20(TNFRSF9+ Treg),0.21 ,1.00E-35,9.30E-35,934,27.19%,15,0.75 ,20,0.54 ,8.11E-07,TRUE,,,,,,,
MKNK1,CD4.c20(TNFRSF9+ Treg),0.21 ,2.57E-25,1.41E-24,935,17.74%,13,0.65 ,20,0.38 ,3.40E-03,,TRUE,,,TRUE,TRUE,,
AKR1A1,CD4.c20(TNFRSF9+ Treg),0.21 ,6.98E-43,9.07E-42,936,32.19%,12,0.60 ,20,0.33 ,6.97E-03,,,,,,TRUE,,
UQCRQ,CD4.c20(TNFRSF9+ Treg),0.21 ,3.08E-47,4.89E-46,937,50.21%,9,0.45 ,20,0.39 ,6.55E-06,,,,,,,,
GRPEL2,CD4.c20(TNFRSF9+ Treg),0.21 ,7.38E-29,4.83E-28,938,16.55%,12,0.60 ,20,0.51 ,3.66E-16,,,,,,,,
KLHL22,CD4.c20(TNFRSF9+ Treg),0.21 ,4.82E-33,3.88E-32,939,13.99%,11,0.55 ,20,0.36 ,2.51E-36,,,,,,,,
CLN5,CD4.c20(TNFRSF9+ Treg),0.21 ,2.41E-24,1.26E-23,940,17.97%,12,0.60 ,20,0.39 ,9.52E-06,,,,,TRUE,,,
RNF114,CD4.c20(TNFRSF9+ Treg),0.21 ,2.04E-19,8.05E-19,941,41.28%,13,0.65 ,20,0.55 ,5.90E-123,,,,,,TRUE,,
TSPYL2,CD4.c20(TNFRSF9+ Treg),0.21 ,6.54E-28,4.08E-27,942,38.80%,10,0.50 ,20,0.48 ,1.46E-05,,,,,,,,
PET100,CD4.c20(TNFRSF9+ Treg),0.21 ,5.30E-36,5.02E-35,943,45.30%,13,0.65 ,20,0.35 ,3.33E-03,,,,,,,,
WNT10A,CD4.c20(TNFRSF9+ Treg),0.21 ,3.01E-12,8.03E-12,944,8.65%,7,0.35 ,20,0.67 ,8.63E-28,,,,TRUE,TRUE,,,
PKIA,CD4.c20(TNFRSF9+ Treg),0.21 ,8.94E-14,2.60E-13,945,22.59%,10,0.50 ,20,0.48 ,1.12E-173,,,,,,,,
LAP3,CD4.c20(TNFRSF9+ Treg),0.21 ,1.23E-31,9.30E-31,946,33.77%,9,0.45 ,20,0.39 ,5.66E-10,,,,,,TRUE,,
ANKS1B,CD4.c20(TNFRSF9+ Treg),0.21 ,2.61E-24,1.36E-23,947,8.38%,13,0.65 ,20,1.12 ,7.46E-28,,,,,,,,
TRIB2,CD4.c20(TNFRSF9+ Treg),0.21 ,6.77E-12,1.77E-11,948,25.36%,10,0.50 ,20,0.63 ,3.91E-110,,,,,TRUE,TRUE,,
SEC11A,CD4.c20(TNFRSF9+ Treg),0.21 ,6.13E-14,1.80E-13,949,49.93%,14,0.70 ,20,0.46 ,1.11E-160,,,,,TRUE,TRUE,,
CD2BP2,CD4.c20(TNFRSF9+ Treg),0.21 ,1.22E-48,2.08E-47,950,31.75%,12,0.60 ,20,0.40 ,6.51E-04,,,,,,,,
PTGES3,CD4.c20(TNFRSF9+ Treg),0.21 ,4.23E-26,2.42E-25,951,52.12%,13,0.65 ,20,0.53 ,4.70E-10,,,,,,TRUE,,
EHMT1,CD4.c20(TNFRSF9+ Treg),0.21 ,5.58E-33,4.47E-32,952,27.56%,14,0.70 ,20,0.44 ,1.06E-77,,,,,,TRUE,,TRUE
PCMT1,CD4.c20(TNFRSF9+ Treg),0.21 ,1.77E-50,3.34E-49,953,40.26%,14,0.70 ,20,0.53 ,1.02E-06,,,,,TRUE,TRUE,,
NDUFS8,CD4.c20(TNFRSF9+ Treg),0.21 ,2.28E-38,2.43E-37,954,44.55%,12,0.60 ,20,0.47 ,5.17E-08,,,,,,TRUE,,TRUE
PSMC3,CD4.c20(TNFRSF9+ Treg),0.21 ,2.90E-34,2.49E-33,955,38.37%,11,0.55 ,20,0.32 ,4.17E-04,,,,,,,,
SERF2,CD4.c20(TNFRSF9+ Treg),0.21 ,2.48E-25,1.36E-24,956,49.95%,11,0.55 ,20,0.39 ,9.17E-04,,,,,,,,
CSNK1A1,CD4.c20(TNFRSF9+ Treg),0.21 ,1.17E-50,2.27E-49,957,47.95%,13,0.65 ,20,0.40 ,4.93E-04,,TRUE,,,,TRUE,,
SEC61B,CD4.c20(TNFRSF9+ Treg),0.21 ,4.44E-23,2.14E-22,958,52.91%,10,0.50 ,20,0.61 ,1.12E-08,,,,,TRUE,,,
SH3RF2,CD4.c20(TNFRSF9+ Treg),0.20 ,3.42E-18,1.26E-17,959,3.43%,9,0.45 ,20,0.42 ,2.89E-02,,,,,,TRUE,,
MBIP,CD4.c20(TNFRSF9+ Treg),0.20 ,9.32E-49,1.62E-47,960,17.04%,13,0.65 ,20,0.36 ,5.87E-05,,,,,,,,
SLC27A2,CD4.c20(TNFRSF9+ Treg),0.20 ,2.26E-19,8.88E-19,961,10.95%,11,0.55 ,20,0.53 ,1.73E-13,,,,,TRUE,TRUE,,
PSMA1,CD4.c20(TNFRSF9+ Treg),0.20 ,7.36E-30,5.07E-29,962,49.48%,9,0.45 ,20,0.44 ,1.15E-04,,,,,,TRUE,,
EIF4G2,CD4.c20(TNFRSF9+ Treg),0.20 ,7.35E-37,7.27E-36,963,51.59%,11,0.55 ,20,0.52 ,2.48E-06,,,,,,,,
PECR,CD4.c20(TNFRSF9+ Treg),0.20 ,1.95E-43,2.61E-42,964,14.67%,13,0.65 ,20,0.44 ,3.12E-07,,,,,,TRUE,,
MYOF,CD4.c20(TNFRSF9+ Treg),0.20 ,1.42E-14,4.33E-14,965,3.02%,8,0.40 ,20,0.60 ,1.97E-08,,,,,TRUE,,,
UBE2I,CD4.c20(TNFRSF9+ Treg),0.20 ,2.41E-45,3.48E-44,966,51.99%,13,0.65 ,20,0.36 ,5.10E-05,,,,,,,,
PCBP1,CD4.c20(TNFRSF9+ Treg),0.20 ,4.62E-34,3.94E-33,967,52.79%,14,0.70 ,20,0.38 ,1.47E-106,TRUE,,,,,,,
IRAK2,CD4.c20(TNFRSF9+ Treg),0.20 ,1.61E-18,6.05E-18,968,10.10%,8,0.40 ,20,0.35 ,6.29E-05,,TRUE,,,,TRUE,,
YIF1A,CD4.c20(TNFRSF9+ Treg),0.20 ,1.79E-40,2.08E-39,969,26.64%,9,0.45 ,20,0.39 ,6.99E-06,,,,,TRUE,,,
RANBP9,CD4.c20(TNFRSF9+ Treg),0.20 ,4.80E-37,4.78E-36,970,16.29%,13,0.65 ,20,0.45 ,1.41E-07,,,,,,,,
LFNG,CD4.c20(TNFRSF9+ Treg),0.20 ,2.80E-44,3.87E-43,971,9.63%,10,0.50 ,20,0.31 ,1.48E-06,,,,,,TRUE,,TRUE
IFI35,CD4.c20(TNFRSF9+ Treg),0.20 ,7.57E-39,8.20E-38,972,30.49%,11,0.55 ,20,0.56 ,2.17E-07,,,,,,,,
